topo_id,state,abbreviation,2010-01,2010-02,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07
2,Alaska,AK,274036.1,277230.0,265531.0345588235,264521.0988970588,263620.1537683823,262702.5218239379,262108.58276143786,261609.4160947712,261630.61691713962,261655.5378052975,262049.92635018914,262430.14314585476,262535.1808393532,262463.9459322325,262535.8333161335,262270.67805297556,262306.0912108703,262586.5014275886,262881.41884244926,263387.03029755765,263856.6278207775,264465.04113347095,265024.0736412109,265587.47147402825,266313.6402046784,266979.0655701755,267492.6839912281,268025.4197368421,268272.1697368421,268870.1302631579,269598.2486842105,270633.4164473684,271883.57434210525,273320.4079887218,274444.0120614035,275392.85661027563,275919.3779761904,276038.93624686706,276254.6158208019,276361.5859164956,276839.7557729549,277485.88029448607,278573.5657011846,279504.2200074047,280205.3444353223,281212.23036209575,282097.4434627822,282974.69625883485,283549.6693947998,284021.21818865946,284485.15239918575,284553.9898991858,284660.8888991858,284716.4460420429,284981.4895402114,285441.8550621894,286071.80130761064,286755.05680211616,287358.50121603557,287924.13233491674,288055.9058489027,288132.5444852663,287597.62770204956,287082.44151323836,286797.2128343086,286467.1007941748,286473.89427243575,286638.35989743576,286889.61138553097,287018.30930219765,287122.74680219765,287440.62180219765,287442.1290521977,287239.6522664834,286935.02424450533,286600.70068681304,286428.03152472514,286512.70817307686,286859.2947115384,287128.4980082417,287658.5835851648,288161.8871565934
1,Alabama,AL,188337.13551401868,187864.07476635513,175320.25239554877,174581.95323619206,173850.43573216628,173226.8700759666,172653.62965326128,172087.2340247817,171602.64367741247,171121.82495365254,170762.66501224478,170404.1687975962,170102.38222355727,169783.51106653246,169491.09606653248,169115.87910818067,168847.60050747808,168625.79316681315,168646.67734582015,168669.99264403444,168790.3840688132,169032.2604847424,169307.44755299896,169621.87277572375,169961.31459977265,170249.01726070963,170506.87035435514,170776.1888380767,171070.79845667447,171434.5384831177,171772.14660325466,172197.60108490268,172708.1969344408,173115.48893088166,173501.52256397522,173886.3895028831,174111.8933062199,174276.66699147774,174177.23650790728,174239.45478051002,174292.1881886733,174346.36121588416,174522.36834215105,174639.8856632859,174742.88351101876,174877.9326446257,175024.60962015015,175287.5340451686,175499.37277058794,175622.91908901138,175787.39359479104,175916.2605484396,175908.9091513808,176131.50529367203,176537.04181209364,176978.1594433458,177613.32494664306,178270.0522776454,179027.99918257835,179546.26728140417,180067.2424698318,180552.92288012092,180980.87828936538,181522.07354657623,182067.17801858849,182597.02614717692,183224.69185134984,183818.1051289072,184414.90106653437,185078.6632631485,185613.7207037224,186061.8213318147,186552.10374932736,186933.25151381295,187127.4775551912,187352.1144879021,187487.84385086113,187685.8406359711,188057.46296662051,188528.947862197,189036.0630524081,189493.1369499335
5,Arkansas,AR,159239.3650793651,158150.09523809524,154492.98484357735,154180.04178506043,153869.41332616442,153641.7983415636,153568.10680328164,153612.8754937578,153689.7307715356,153756.8942635991,153857.30612867847,153921.1293826467,154007.52473978957,154028.9626762975,153995.2993950475,153905.40746062848,153887.83697451738,153895.56049882295,153903.54793547833,153910.8204926509,154033.6843751873,154122.71206765246,154128.038534978,154154.40732279565,154128.95385869723,153980.6121079913,153726.04913104375,153384.1956786628,152996.33894056757,152694.10075009137,152583.96596437707,152587.9371391891,152689.12197685143,152904.29023692472,153141.01074974524,153314.3465343245,153407.76998517918,153428.4715610339,153397.2786556285,153412.7304574303,153478.2408697657,153660.0402460651,153983.70552673037,154433.89766983502,155016.18431454935,155659.0845198179,156170.4884894125,156620.96509435074,157171.76817065597,157678.72525097727,158046.13587002488,158403.98737378427,158690.45755273325,158978.94176019245,159286.65291403863,159711.1959909617,160218.12573455146,160800.11712649284,161358.0512662778,161896.62357810576,162248.5425360981,162500.11636997698,162787.25735175837,162944.45574919428,162939.3160707644,163023.5841087391,163515.49366577793,164199.9098440112,164943.82291056315,165656.71375791478,166335.89396905585,167015.08167766733,167677.04702487442,168304.995899131,168928.06610162323,169508.71335240203,170021.26957514347,170529.90904828714,171048.70201130596,171521.16910757768,172160.4598338652,172782.79280264626
4,Arizona,AZ,259951.1150793651,257748.50396825396,227548.21523898016,226383.31443148665,225591.32121904666,224964.41467720448,224583.8365855136,224636.02657915457,224817.33479129398,225075.3082144793,225471.96655504397,226149.64702189574,226982.6640632394,227969.86842227954,229202.96736060106,230603.127526714,232191.609154621,233962.83160697887,235922.5968241393,237853.0359714261,239664.89513056306,241408.96295400188,243028.28132165852,244531.9880874032,245879.93810745134,246890.8332773977,247772.17490655495,248372.2613294436,248824.08173620963,249368.91132901266,249934.17886251857,250420.7134352135,250893.53587519116,251138.14256745967,251284.66996557993,251227.29148125937,251070.68318857643,250844.17961218752,250536.92103049695,250266.4332256189,250122.0494474614,250119.9155245709,250225.3113884613,250430.17879977534,250783.55949025942,251280.10236571723,251871.19426552873,252681.01405698847,253576.15696299463,254488.66297091715,255383.42074134928,256244.54111529965,257087.85032900836,258069.53086014558,259187.75669424646,260387.43817459876,261574.86871265207,262725.3444960622,263778.25418055535,264913.01457717654,266111.762456456,267301.02834352583,268456.6653199006,269548.53211447684,270605.94928449433,271886.5002639316,273164.54622580146,274462.70203840866,275669.63009801414,276782.27320326725,277879.48246089637,278988.8827331343,280102.7076350035,281280.1581869245,282380.80884842324,283476.8951539788,284600.2207974973,285800.9487918649,287125.2623892146,288439.84501969366,289661.68378269055,290823.1011449432
6,California,CA,439534.28317535546,434727.366745283,408192.31372531754,405783.2926903338,403573.6034655321,401733.4152772957,400056.7610554184,399120.65950858325,398560.5277262747,398373.90318143385,398640.21906532475,399443.6840414909,400570.1521446073,401899.75477164774,403569.44725324423,405576.0186320449,408172.7145544775,411324.1389892611,415485.7468805356,420413.35079272895,425980.1128495036,431823.1808121643,437740.4090880264,443891.5245854732,449574.35973283584,454788.07064792805,459756.2156295471,464124.4505912064,468265.1453656546,472052.1356969325,475882.3917305978,479371.1728549457,482699.3375352596,485957.7583358999,488849.7731391823,491356.7304987194,493260.02601045603,494518.96613617183,495053.69071932754,495221.6979692949,495004.04583159136,495366.5764780796,496136.09513050143,497144.3968386108,498561.1818610987,500370.9432825373,502662.012526851,505235.8061898402,508094.10785771423,511123.67853247223,514299.6343101376,517836.8029813894,521758.25710689824,525775.0088394897,530091.8505710883,534576.2316344252,539388.292026025,544340.0411913799,549351.6832758473,554281.8474710532,559390.6050307518,563956.9484102337,568622.900852331,572959.4777304862,577388.7281429638,581915.5610705365,586377.0778372881,591044.724741141,595609.5515076739,600223.6385660963,604561.4004305968,608665.7048330647,612503.767630634,616246.7580073096,619988.4542523914,623753.8142853387,627421.8723563976,631192.320729954,635000.7875695678,639005.5167760375,642859.8275004032,646615.8294211334
8,Colorado,CO,263805.7761904762,262523.9380952381,248500.76268071268,247563.54039896667,246730.77295248344,246175.88505205055,245683.20152391205,245634.79398960673,245784.72348408418,246030.2484840842,246557.54232860418,247162.57680396526,247911.46160005702,248761.96771237347,249531.7365708514,250264.549354563,251128.33859369345,252253.86989711225,253617.14032633387,255205.69516429686,256809.19682101556,258541.83838142842,260410.70651287952,262658.6520582725,264722.9090074439,266682.58559835295,268464.5059074439,270144.9559507339,272082.5863981212,274098.6635465587,276259.23411738325,278476.1756978829,280902.3783115192,283310.63070599973,285934.035035004,288592.3859549175,291179.0173597265,293500.9781017622,295730.6418055372,298102.5969454626,300455.00002828555,302878.4021341454,305529.3034993035,308038.2958011328,310742.69021396973,314276.2410473031,318267.3511506143,322371.43483639124,326213.6748345782,330206.69623452774,334437.38950432464,338772.62188465975,342994.5323995307,347142.07619323704,351275.3149944848,355441.9870101618,360301.9871519367,365047.35986636917,369414.96098358056,373617.19867535913,377961.49182274065,382492.73223054205,386830.9362555206,391262.1205618393,395621.4472350823,399164.1987413211,402761.67762342654,406191.03012444393,409426.6567071931,412576.8997417206,415384.00976360484,418224.12907909777,421039.02823451336,423955.2494262527,427035.59927629615,429978.3017101638,432291.2819712475,434701.29034354445,437323.23828869313,439823.25647607783,442199.73334056855,444310.13748260465
9,Connecticut,CT,366611.53658536583,366817.70967741933,342735.3665655664,341860.1201968164,341052.81814525387,340598.84012650384,340151.3147936914,340232.8349155664,340307.50320306636,340430.4268079771,340539.5441628878,340784.97961675684,341298.63542691927,341900.30050810095,342352.7247344331,342749.8775599934,343382.05637889105,344034.27510672656,344783.828694436,346029.4663545606,347415.2219221949,348003.6679518124,348651.3706103945,349468.67178809975,350364.4601247368,351104.83714199427,351792.0256822142,352392.1346492281,353242.5944837869,353877.35668309,354842.4524705225,355540.4427189488,356122.2876239623,356570.4203689291,357037.4001079286,357449.955334824,357548.04350029165,357724.3644130271,357931.10222338035,358151.55082479777,358423.07148044807,358609.08499324124,359548.2005638258,360355.53321693954,361045.3825594511,361874.97114025394,362701.68631905346,363393.7257060266,363737.13256327814,364312.5473871432,364750.97383839596,365122.46356303,365730.1317198744,366511.2465272066,368075.1191058784,369673.717337905,371322.6328459068,373225.95198113914,374999.7772727977,377323.09807937394,379269.54775578814,381419.15600123396,382699.88112357736,384082.8018386896,386093.5922742613,387992.3692820478,389833.0297213186,391545.7035340642,393221.28073965944,394980.386501967,396612.3473239145,398349.24938210414,399692.52280462126,400852.24837611103,401268.3488055328,401755.9732432454,402345.84363227605,402850.5181930868,403455.0291559246,403141.001023584,403144.17974002694,402947.78046779544
11,District of Columbia,DC,351953.9285714286,357557.14285714284,358800.1642857142,359540.23571428563,360753.2535714285,362340.9142857142,364297.3428571428,366273.9321428571,369000.5178571428,371771.5892857142,374321.5892857142,376695.5214285713,379849.59285714274,382962.71785714274,385491.907142857,387798.77499999985,390750.3285714284,393366.3285714284,399786.6410714284,406936.0160714284,414022.4714285713,420334.51160714275,425112.85357142845,430736.74761904747,436730.31746031734,442870.52857142844,448260.0857142856,454198.72063492064,459717.55476190476,465530.8880952381,471729.18174603174,477629.54801587306,483413.8821428572,488948.9956349207,494610.80515873025,500665.6138888889,505814.0265873017,511455.1416666667,513637.8791666667,514490.9347222223,514878.5111111112,517159.7368055556,521203.4555555556,524660.0694444445,527009.1305555556,528523.7750000001,530865.6861111112,533231.8833333334,535989.8583333334,537649.0194444444,539863.613888889,542874.3250000001,544695.9194444445,546856.8416666667,549903.0840909091,552516.2601010101,555522.1477272727,558176.0359217172,558841.3513063325,559473.8284430846,561000.5934003496,561165.5989559052,560735.2124174436,560533.8344259907,560223.5409736097,560602.7925609113,562901.8481164669,564539.8331164669,566528.5275609113,568764.4031164668,570163.4014498002,571422.4264498001,572948.5358248001,574376.1295748001,574679.2095463912,575186.0797168456,575513.3568475276,575744.7308058608,577684.9247962454,580172.4999164378,581835.0960702839,583702.163257784
10,Delaware,DE,271997.0571428572,273476.97142857144,253831.23500375374,252227.2307432432,250542.16542792792,249122.55900900898,247841.2263701201,246696.43883258253,245650.72950450442,244725.29823573568,244138.1853228227,243641.379861111,243114.79951201193,242684.32561936928,242169.90589339333,241817.18915362726,241649.27679587476,241759.03070768132,241922.37846728304,242435.49329658604,242940.4088193456,243548.58406827872,244397.60411332376,245292.27509391974,246230.46861436326,246889.666379436,247559.3522768719,248095.60028449493,248653.26383265847,249275.21700313664,250009.43098442565,250873.196237804,251793.4680452364,252679.04416010124,253763.6652749661,254605.65145917662,255252.24359733448,255679.38395917657,256055.4698144397,256123.57037365023,256358.38534075549,256789.87580128183,257180.53413461515,257753.9622756408,258340.05459896792,258974.50685037504,259540.71973342696,260057.03622811116,260575.413088649,260975.0452181049,261071.99076219494,261168.16730182912,261231.23341463399,261438.09350609742,261668.35615853645,262043.59975609742,262415.0424542682,262952.2779268292,263630.48905487795,264262.5231554877,264813.07765243895,265159.62689024385,265341.80006097554,265155.4298780487,265014.61219512194,265034.07514518,265275.2180313588,265686.2218205574,266126.469410569,266737.9512921021,267445.02213995345,268895.6899753193,270305.8498284235,271601.62507786916,272726.2311754302,273657.3472369601,274653.7909592439,275532.54622531927,276531.73964272504,277795.48434893345,279154.10854516405,280606.24112554104
12,Florida,FL,236679.48101265822,234911.09367088607,209931.23908445812,208732.65202866815,207818.76377451333,207118.8022583739,206513.8716936021,206167.62096728553,205997.51109543486,205867.98320731713,205898.13882537742,206042.52057253695,206274.90390423272,206710.8833046207,207260.95795957354,207902.8363421739,208655.4080438604,209622.06357530644,210693.16742485235,211983.75699340962,213325.97795264874,214868.93199661403,216441.67282045068,218146.4196758187,219886.0875902123,221566.7863561408,223244.23155974038,224971.44672649424,226772.6149451604,228562.0524979135,230373.85085612108,232138.2355145177,233923.47645302018,235651.09331958214,237314.42755597262,238899.8299652826,240468.5862129835,242043.79427952593,243538.3951430629,244937.0391390548,246363.63604744273,247732.3611061836,249111.352473705,250319.32994305243,251459.11410857126,252734.60986674638,254153.99746432077,255514.8428449388,256906.10154525205,258460.58220637758,260314.19548281297,262167.55584352976,264050.0967402706,265785.5925099923,267629.44608836004,269458.0106887304,271203.8322844875,272887.634690278,274450.323617546,276032.9807690903,277656.6542418908,279243.96845680254,280794.8103825299,282471.444685915,284126.09426567634,285642.700597593,287047.6160176964,288525.9447550189,289936.9762128949,291165.46914931684,292031.2671455479,293004.66343427973,293857.92980530945,294793.30087632936,295645.78463012254,296433.7502903492,297317.9967864764,298113.51672240504,299082.9615929028,300036.12716345943,300958.3641273874,301876.1452962695
