topo_id,state,abbreviation,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08
2,Alaska,AK,274036.1,277230.0,277326.6666666667,282388.06666666665,281028.125,276871.84375,274362.5,273353.78125,271731.25,269907.5625,266018.6875,258041.17647058822,256503.5588235294,258326.08823529413,259480.88235294117,259080.64705882352,266000.0,264547.0,264397.0588235294,263749.9411764706,264658.82352941175,263476.4705882353,259426.4705882353,259658.82352941178,260829.41176470587,258852.9411764706,256009.86111111112,261475.0,261747.91666666666,270331.5789473684,266517.1052631579,265928.94736842107,264107.8947368421,260426.84210526315,258056.18421052632,260518.3947368421,260696.8947368421,265255.2631578947,270005.2631578947,269648.2894736842,274771.05263157893,272868.4210526316,271594.7368421053,270839.4736842105,272097.36842105264,273376.3157894737,269318.36842105264,271747.36842105264,272402.63157894736,275266.5789473684,278476.3157894737,280491.3157894737,284811.25,285430.0,286792.85714285716,282990.4761904762,279673.78571428574,275785.6904761905,272396.4285714286,273961.88095238095,276910.45454545453,282431.8181818182,284517.2272727273,292593.1818181818,290710.45454545453,287398.8043478261,289456.0869565217,289451.6304347826,289947.6875,286766.0416666667,287907.2916666667,289770.0,286188.0,287567.98,287904.0,288291.3461538461,288881.0961538461,288384.6153846154,286061.53846153844,286030.76923076925,288223.07692307694,285067.28846153844,286050.0,281894.8461538461,280406.73076923075,281694.23076923075,282853.8461538461,289587.5,293237.0,291791.0714285714,290481.25,291858.75,292545.5,287598.125,283854.46428571426,282198.78571428574,282194.625,284931.23214285716,287755.0714285714,292962.5,293607.14285714284,295669.0,296116.0714285714,295439.28571428574
1,Alabama,AL,188337.13551401868,187864.07476635513,187173.761682243,183167.19907407407,182431.26388888888,181704.53703703705,180428.78703703705,179656.63888888888,178971.09633027524,178058.4266055046,177412.24311926606,175498.76605504588,174725.44495412844,173459.91743119265,173912.2,173629.8,174604.7162162162,173933.42857142858,174124.45982142858,172179.4017857143,172900.5580357143,170901.4115044248,169932.87168141594,167939.07894736843,167665.28070175438,167074.18695652173,167957.47391304348,168191.8304347826,167643.18376068375,168366.61965811966,167795.86864406778,168315.56722689077,167555.52066115703,167424.18595041323,167534.77685950414,167781.5,167100.37704918033,168567.85655737706,169688.3130081301,172597.08536585365,173366.864,173309.24,174770.4,173442.8203125,173953.78515625,173863.0234375,173711.52713178293,173348.8923076923,173029.5534351145,174258.81203007518,175070.66917293234,175067.72962962964,176064.61029411765,177636.10294117648,175680.61678832117,175502.1726618705,174797.71582733814,173077.93262411348,172983.7867132867,170608.47569444444,174611.2294520548,174363.9081632653,175853.8605442177,176962.96283783784,176304.13157894736,175922.98039215687,176412.50980392157,176282.43181818182,178288.04193548387,178495.58653846153,177541.59554140127,178357.21974522292,178641.94936708861,177489.075,180132.53963414635,183612.90303030302,183620.06845238095,185781.24269005848,186118.33333333334,185767.41379310345,184976.59142857144,184783.41193181818,185567.46875,185522.07102272726,187128.03672316385,186825.06983240222,187009.47237569062,188835.74590163934,190156.307486631,190431.5052910053,190816.8394736842,189058.36855670103,187603.961928934,187294.7233502538,187755.49492385786,187497.423857868,188112.80710659898,188495.82994923857,190078.26903553298,193199.86040609138,194406.28934010153,194925.7157360406,194708.9467005076,195621.23096446702
5,Arkansas,AR,159239.3650793651,158150.09523809524,157768.74603174604,156860.70634920636,159096.17460317462,159313.15873015873,158699.26984126985,158222.6984126984,156376.2619047619,155846.0158730159,155352.5873015873,152712.6984126984,151652.92063492062,150991.42857142858,151405.05555555556,152034.765625,153397.578125,153381.5625,153510.703125,154362.109375,154321.84615384616,152724.16153846154,153143.9393939394,153314.76119402985,152837.31343283583,153100.58955223882,154146.97014925373,156748.86764705883,157271.63571428572,157383.12142857144,156695.85714285713,154720.9357142857,152929.38571428572,152719.33571428573,151833.8142857143,151361.5,151599.7394366197,153030.15277777778,153665.17361111112,154521.8581081081,154467.2972972973,155181.4391891892,154924.49324324325,153421.29054054053,153364.6891891892,152591.52027027027,151180.13513513515,151657.6081081081,150434.56666666668,149625.98666666666,150651.09333333332,152518.24,153008.80921052632,154743.03246753247,156137.1794871795,156095.91025641025,155066.45512820513,154898.62179487178,154079.20512820513,153898.0,154776.33333333334,156491.64743589744,158560.48076923078,159894.59615384616,162368.53205128206,164237.25316455695,164038.13924050634,161885.6875,159444.0987654321,160642.0481927711,160790.23493975904,159866.45238095237,160165.8392857143,160472.43604651163,161906.86363636365,162250.13333333333,163557.31666666668,165037.21666666667,165719.03296703298,165056.68279569893,165547.77956989247,163530.02659574468,163591.95744680852,165637.41578947369,165512.5,164134.4595959596,165723.5,171723.8786407767,173132.4223300971,175520.30952380953,175048.05188679244,173450.05660377358,173749.59345794393,173711.7429906542,174465.84112149532,174711.53738317758,175170.261682243,175288.34112149532,175891.82242990655,175432.54205607477,174997.1214953271,176315.84112149532,176038.6168224299,177874.45327102803
4,Arizona,AZ,259951.1150793651,257748.50396825396,254700.31746031746,252817.1865079365,247331.69444444444,241828.32936507938,240790.18897637795,239257.4765625,234116.31640625,234267.07421875,231931.88759689924,228998.82945736434,225940.06976744186,224408.2480620155,223813.80620155038,220355.65891472867,221165.63953488372,220934.76744186046,218675.42248062015,217987.50387596898,218393.21705426357,219382.47286821707,219854.56589147286,221531.13565891472,224033.67829457365,225988.46511627908,228252.05813953487,231645.91472868217,235160.11627906977,237893.23846153845,237091.35606060605,236931.99626865672,239493.6791044776,241068.5888888889,243557.89338235295,245017.63768115942,249168.84285714285,252704.4,254099.87152777778,257182.80821917808,257002.0,255619.6560509554,254735.92236024846,253917.5030120482,254107.81360946747,252947.4655172414,248469.96153846153,249272.74731182796,247161.84473684212,246929.64659685863,247987.94791666666,248237.3469387755,249224.37055837564,250525.03768844221,248450.02722772278,247948.18564356436,248021.2731707317,249572.23414634148,249569.8,251037.63658536586,251592.24390243902,252731.9804878049,254693.24390243902,256025.42028985507,258205.1618357488,260015.07932692306,258400.81904761904,261094.58530805688,263358.2405660377,264832.50471698114,266238.06807511736,266132.5023474178,266446.77803738316,267391.22196261684,268083.6378504673,270312.7023255814,272014.90277777775,273320.8449074074,272579.31566820276,272095.83027522935,274287.4518348624,276706.93807339447,278478.5616438356,279138.1598173516,280042.49772727274,281163.42272727273,284011.8386363636,286655.5045454545,289321.3568181818,288971.0659090909,288490.9301801802,288076.6875,288634.78348214284,289667.72,291632.6488888889,292325.71555555554,293936.62888888887,295787.35777777777,296593.87555555557,298582.1022222222,300579.10444444447,301143.7133333333,301706.9088888889,302607.1533333333
6,California,CA,439534.28317535546,434727.366745283,431413.1733021077,430828.5327868852,431985.88056206086,430196.1471962617,427640.80724299065,428736.148364486,421357.7593457944,417618.35397196264,414859.8644859813,408181.9300699301,404265.57575757575,401685.0093023256,403493.40951276105,402342.29099307157,403839.69770114945,403303.87586206896,402972.75057471264,400130.08850574715,395779.4310344828,392200.00229885057,388062.616091954,385194.6356321839,383805.4598623853,386002.3627002288,390837.04347826086,395203.06392694067,402635.7284090909,406415.7183257919,411127.3735891648,413508.24774774775,420334.8752808989,424214.3713646532,430085.4620535714,435736.140625,443971.1252771619,455237.7943107221,466001.2392703863,483362.2463312369,494331.5092783505,503535.2434343434,504923.9753451677,503539.2011494253,506827.76981132076,499659.065647482,495111.2617801047,494565.96355932206,490000.4276422764,489229.6138147567,486867.1802147239,490113.36842105264,490110.49776785716,490777.66497093026,495253.87806637806,493576.4366906475,494110.272467903,493303.70454545453,491180.04178470257,494056.73799435026,497691.6542776999,499182.20068027213,512174.58827493264,518929.57419786096,526993.8039735099,527994.7660972405,531306.4902088773,540387.3484455958,541476.3009020619,546395.6471722365,547458.5937098844,553632.483974359,560853.8711928934,569206.7474811083,575588.9127182044,579913.2713226206,583797.8937346437,589544.912377451,590215.0250917992,594289.5796836982,596294.9381818182,601357.3518742443,603501.4558645707,612248.623039807,613725.3415366147,616579.7743467933,621843.1487603306,629617.6837806301,634829.2389791183,637692.1825028969,639740.3348783314,640387.7212643678,642939.9592422503,645968.0034324942,650448.7202517162,654747.1962242563,659105.0943935927,662906.073798627,665623.992562929,670458.9164759725,676389.5223112128,678443.5663615561,678621.4942791762,677694.2671624714
8,Colorado,CO,263805.7761904762,262523.9380952381,259475.4619047619,258608.34285714285,259124.37619047618,259307.63333333333,258571.97619047618,260726.55238095237,255082.76886792452,252966.03738317758,251567.5,246317.51401869158,244342.55140186916,242233.1495327103,241641.761682243,242094.55140186916,245067.67289719626,244409.75,245062.41666666666,245512.3287037037,245298.49074074073,245789.7685185185,243360.9351851852,241537.5185185185,240379.93055555556,242652.28440366974,247474.21818181817,250872.8818181818,254114.6181818182,255964.62727272726,256478.0,256863.3909090909,256443.2409090909,257210.84545454546,258651.88392857142,257489.92857142858,259723.92857142858,261685.5347826087,267573.04273504275,272777.73728813557,277069.5875,277859.80165289255,278013.76639344264,278914.881147541,285338.84146341466,283937.4233870968,286667.75,286511.288,287723.61904761905,294717.23622047243,296799.54296875,300074.8023255814,300782.072519084,305734.8977272727,306816.9318181818,309958.01515151514,312890.94696969696,313418.1628787879,314012.25757575757,317371.01136363635,324508.69029850746,324907.86330935254,326481.8085106383,331932.90845070424,335518.6875,338025.3116438356,357338.76666666666,366333.4900662252,369805.2927631579,371562.0361842105,376659.9709677419,384688.667721519,387486.72012578615,390173.10802469135,389767.8076923077,392622.7911764706,396224.387283237,410618.1657142857,408919.71186440677,404723.03370786516,408553.4441340782,411793.72625698324,417106.61666666664,418696.9889502762,424142.37362637365,425211.8451086957,428193.79679144383,438283.0677083333,438392.34278350516,436274.56783919595,439664.83165829146,440830.86815920396,444289.10643564357,446471.0911330049,448092.2315270936,454229.7881773399,455078.43596059113,456877.7709359606,457119.8793103448,457161.99261083745,458553.8078817734,459323.263546798,459314.69950738916,455045.1896551724
9,Connecticut,CT,366611.53658536583,366817.70967741933,365677.625,362328.71774193546,359486.068,357633.584,352477.576,352342.284,346484.996,345879.228,343231.03571428574,339042.53571428574,341161.61904761905,337764.12598425196,337686.29527559056,337889.74803149607,339632.05118110235,339901.5236220473,336810.35826771654,335499.4094488189,331916.7244094488,330287.08267716534,345974.5234375,343606.5625,341981.140625,341487.54296875,343398.015625,343391.77734375,348115.3984375,347372.59375,345689.5078125,341224.8828125,346070.328125,348037.2421875,349719.5968992248,346938.23255813954,347575.1076923077,352545.1,349854.7328244275,350490.4812030075,356829.4776119403,358002.19402985077,357743.44402985077,356560.6156716418,358327.1641791045,359403.30970149254,358205.55597014923,357135.54814814817,360117.5777777778,364381.79044117645,358384.75179856113,360526.7985611511,360030.1330935252,359674.1402877698,358682.25179856113,356277.8273381295,355826.21223021584,354506.86330935254,353381.1510791367,354625.23741007195,361238.4496402878,363432.60714285716,361463.71428571426,375342.9270833333,374473.8172413793,373200.29655172414,374797.3275862069,373669.85172413796,373958.36551724136,371249.9275862069,369893.04827586206,369295.3275862069,367459.9275862069,371827.5034246575,374304.5479452055,387555.2789115646,387798.1768707483,387485.17346938775,391447.5337837838,390101.74324324325,407704.8657718121,402361.60067114094,404455.8791946309,400957.42953020136,402132.23154362413,413416.1052631579,412772.8677419355,410483.06050955417,408211.8417721519,404761.4716981132,405075.1635220126,401934.5440251572,402197.96875,398692.971875,397499.059375,395877.2875,397550.665625,399282.58125,401541.025,402191.9625,401424.303125,402425.175,400527.89375,398836.271875
11,District of Columbia,DC,351953.9285714286,357557.14285714284,365826.0714285714,362257.0714285714,363242.85714285716,360925.35714285716,354746.78571428574,356664.28571428574,354011.0714285714,346018.21428571426,350928.5714285714,348228.5714285714,346985.64285714284,339265.0,344351.78571428574,354023.35714285716,357998.35714285716,359161.78571428574,366407.14285714284,367050.0,372150.0,377007.14285714284,376678.5714285714,380158.78571428574,378044.28571428574,385185.71428571426,386500.0,395792.85714285716,393542.85714285716,400549.9285714286,406350.0,399228.5714285714,394464.28571428574,402346.4285714286,406614.28571428574,404607.14285714284,404135.71428571426,418192.85714285716,418727.14285714284,495456.25,515137.5,518736.25,502919.375,475725.625,490522.1666666667,505057.1111111111,509304.22222222225,503584.0,512315.55555555556,510926.6111111111,522616.6666666667,523194.44444444444,512471.6111111111,518033.1111111111,517316.55555555556,517843.3333333333,525231.8888888889,521161.1111111111,531549.4444444445,539111.0,532198.6111111111,526487.7777777778,548543.8888888889,556600.0,559654.4444444445,552038.3333333334,539597.1111111111,550422.2222222222,559639.5,566086.1111111111,555799.8888888889,567486.3333333334,572685.8333333334,554465.0,560535.0,578768.1818181818,577495.4090909091,581278.8636363636,584627.2083333334,552417.3076923077,544848.1538461539,557023.0769230769,551844.0,547992.2692307692,555626.8846153846,545832.4642857143,547182.1428571428,596403.3333333334,592399.2,605860.0,600517.4,595466.3,597866.3333333334,584987.1875,589086.875,584829.78125,587632.8125,587824.40625,589254.6875,591221.1875,594599.65625,590275.0,589185.34375,580245.78125
10,Delaware,DE,271997.0571428572,273476.97142857144,268161.40277777775,269923.2638888889,268910.15277777775,268928.3333333333,266778.75,265529.15277777775,263987.77777777775,262386.90277777775,260275.13888888888,256089.55555555556,252211.04166666666,252212.95833333334,250698.18055555556,250289.59722222222,251314.86111111112,250193.8918918919,247542.52702702704,246527.7027027027,245255.72972972973,242121.2027027027,238935.8108108108,236435.43243243243,236830.06756756757,235227.02702702704,238386.62162162163,239902.5,241092.02702702704,241472.7162162162,241766.51351351352,244347.2972972973,242274.93243243243,241681.35135135136,242088.7027027027,240001.2027027027,244260.52631578947,246835.6447368421,249737.6052631579,249794.65789473685,255518.02631578947,252219.51315789475,251099.31578947368,253415.83333333334,254723.4871794872,253990.89743589744,251570.57692307694,253296.21794871794,251816.9871794872,252625.9871794872,254205.57692307694,259031.57692307694,259550.2375,260086.7875,259800.225,261693.625,261100.25,259767.4875,258280.4125,257316.375,256880.0375,256915.8125,259729.125,261229.0,266192.05,265712.743902439,264259.6219512195,264620.4756097561,262143.31707317074,262993.5243902439,262198.2195121951,260970.48780487804,261473.76829268291,261348.10975609755,263937.4268292683,266298.8780487805,268605.1219512195,267196.34146341466,269025.1219512195,270880.5975609756,269520.7195121951,267926.9024390244,266660.10975609755,264872.46341463417,262464.64634146343,262896.39024390245,264648.88095238095,269443.3333333333,270363.39285714284,271798.4761904762,274427.85714285716,275111.90476190473,290487.125,289551.3068181818,289852.9318181818,288791.0,287227.4431818182,287125.2159090909,286600.2272727273,290864.4659090909,294795.61363636365,295099.38636363635,295702.76136363635,296195.0
12,Florida,FL,236679.48101265822,234911.09367088607,231254.89746835444,228391.5341772152,226024.6151898734,222311.1123737374,220423.32323232322,219557.28282828283,216095.6553030303,213061.54156171286,213248.57934508816,209889.9282115869,208150.38287153654,205497.82745591938,206235.13727959697,205281.11306532664,206747.20175438595,206503.664160401,205127.4072681704,205223.4486215539,203974.97625,203287.41125,201152.16749379653,200832.0061728395,202052.87407407406,204033.3472906404,206424.09290953545,207458.67153284673,209170.64077669903,209659.34412470023,210658.0215827338,210493.04057279235,211038.01781472683,210145.4940898345,214954.72528735633,216282.60616438356,219584.7694063927,221555.09819413093,224460.51789709172,226645.52561247215,229786.76762114538,230131.8304347826,232011.24837310196,232286.82264957266,236147.8111814346,238826.7055785124,240038.0682281059,241007.5756048387,243714.94411177645,245682.7084980237,246446.77263779528,246729.0077369439,246325.71098265896,245850.31285988484,249507.06261859584,249549.2908921933,251292.8175925926,252930.22314814816,255964.67922794117,256537.5428832117,257759.6475409836,258663.76860254083,259385.74954792042,259866.65,260307.36056838365,261622.38888888888,265547.9833916084,269395.3275563258,270931.85172413796,273507.88250428817,277536.3858603066,283801.2732656514,283392.918196995,283501.130794702,284216.9780130293,286426.36245954694,287864.1096,287846.65506329114,289640.72734375,287791.3214285714,289412.79057187017,291137.2380585516,291132.0338461538,290883.4885145482,293840.0466360856,294715.380484115,295880.11002994014,297493.63595839526,300498.42647058825,301728.5116618076,302106.2445887446,301117.2331902718,302860.8439716312,300566.45821529743,302924.3994334278,303476.0375354108,303623.4228045326,305531.5849858357,305551.12606232293,307180.2188385269,308476.10198300285,309581.9773371105,309487.657223796,308875.65155807364
